anilha,peso
193,1742
174,1585
190,1400
34,1642
114,1421
103,1595
189,1420
176,1764
147,1525
120,1834
173,1418
150,1167
157,1555
180,1608
123,1793
116,1538
185,1925
179,1627
112,1209
130,1883
134,2050
126,1542
138,1060
170,1841
158,1003
141,1565
140,1042
133,886
177,1280
175,1880
122,1340
187,1343
137,1474
152,1810
139,1511
146,1470
106,1396
113,1799
121,1571
200,1492
194,1977
142,1867
163,1440
192,1560
131,1649
198,1045
157,1721
127,1560
132,1290
145,1358
172,1442
195,1562
102,1258
186,1805
124,1700
196,1635
110,1451
129,1403
149,1413
183,1430
153,1914
178,1920
188,2095
167,1585
119,1390
171,2215
125,1836
168,1460
143,1276
101,1533
197,1230
181,1245
111,1486
160,1160
155,1861
151,1790
199,1495
166,1505
156,1500
169,1928
135,1497
191,1482
161,1445
117,1120
144,1857
128,1728
136,1559
148,1479
162,1546
164,1941
182,2188
118,1901
165,1149
105,1751
107,1656
104,1507
109,1279
50,1390
41,1229
91,1081
93,1498
11,1690
28,1268
16,1766
54,1813
35,1401
20,2175
59,1925
174,1723
36,1935
75,2051
83,1863
18,1515
84,1867
65,1994
48,1744
74,1927
21,2126
81,1443
184,1464
71,1960
13,2633
32,1733
27,1780
33,1603
78,1510
85,1943
80,1812
7,1520
8,1456
24,1172
77,1836
30,1179
67,1530
90,2146
79,1193
46,1509
40,1477
51,1226
57,1700
5,1871
14,1443
52,1531
53,1713
100,1400
4,1575
66,2496
10,1573
96,1500
37,1611
2,1168
47,1226
56,1296
19,1280
23,1680
60,1930
92,1453
70,1644
26,1504
38,1870
55,1650
99,2128
3,1275
95,1730
44,1530
42,1428
49,1420
